SQRP SY2020 Individual Indicator Scores (Based on 2018-2019 Data),,,,,,,PSAT and SAT  Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High School Graduation Indicators,,,,,,,,,College and Career Readiness Indiciators,,,,,,,,,Other Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2019-2020 SQRP Rating,SY 2019-2020 Accountability Status,PSAT09 Cohort Growth Percentile,,,,PSAT10 EBRW Annual Growth Percentile,,,,PSAT10 MATH Annual Growth Percentile,,,,SAT11 EBRW Annual Growth Percentile,,,,SAT11 MATH Annual Growth Percentile,,,,SAT11 Cohort Growth Percentile,,,,"SAT11 African-American
 Cohort Growth  Percentile ",,,,"SAT11 Hispanic
 Cohort Growth  Percentile ",,,,"SAT11 English Learner
 Cohort Growth  Percentile ",,,,"SAT11 Diverse Learner
 Cohort Growth  Percentile ",,,,Percent Meeting College Readiness Benchmarks,,,,Freshmen On-Track Rate,,,4-Year Cohort Graduation Rate,,,1-Year Dropout Rate,,,College Enrollment Rate,,,College Persistence Rate,,,% Earning Early College and Career Credentials,,,Average Daily Attendance Rate,,,"My Voice, My School 5 Essentials Survey ",,,Data Quality Index Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610304,PHOENIX MILITARY HS,ISP,4.1,Level 1+,Good Standing,98,100,5,3.33,50,100,3,1.67,12,100,2,1.67,8,100,1,1.67,65,100,3,1.67,61,100,3,17.5,,,,,65,100,4,2.5,,,,,,,,,49.5,100,3,10,92.2,5,10,86.6,5,10,0,5,5,70.4,4,5,78.5,4,5,90.1,5,5,95.3,5,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610323,BOWEN HS,Network 17,2.5,Level 2,Intensive Support,1,98,1,3.33,32,95,2,1.67,50,95,3,1.67,21,95,2,1.67,63,95,3,1.67,1,95,1,20,,,,,,,,,,,,,,,,,7.6,92,1,10,90.7,5,10,58.1,2,10,12.5,1,5,45.5,2,5,45.8,1,5,67.2,5,5,86.8,3,10,Well Organized,5,5,99.5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610334,RABY HS,Network 15,2.3,Level 2,Intensive Support,3,99,1,3.33,50,97,3,1.67,17,97,2,1.67,23,100,2,1.67,37,100,2,1.67,1,100,1,17.5,1,100,1,2.5,,,,,,,,,,,,,3.7,99,1,10,87.3,4,10,74.8,3,10,2.4,4,5,45.5,2,5,33.3,1,5,66.7,5,5,82.9,2,10,Partially Organized,2,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610340,CHICAGO ACADEMY HS,AUSL,3.7,Level 1,Good Standing,90,100,5,3.33,50,100,3,1.67,13,100,2,1.67,50,100,3,1.67,64,100,3,1.67,33,100,2,17.5,,,,,29,100,2,2.5,,,,,,,,,36.3,100,2,10,97.3,5,10,83,4,10,1.1,5,5,78.1,5,5,73.6,3,5,46.3,5,5,94.8,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610357,SPRY HS,Network 16,2.7,Level 2,Provisional Support,79,98,4,3.33,90,100,5,1.67,31,100,2,1.67,10,100,2,1.67,50,100,3,1.67,5,100,1,20,,,,,,,,,,,,,,,,,12.8,100,1,10,77.8,3,10,75,4,10,8.8,1,5,57.1,3,5,80.6,4,5,55.9,5,5,83.1,2,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610380,WILLIAMS HS,Network 17,2.9,Level 2,Provisional Support,3,95,1,3.33,50,95,3,1.67,16,95,2,1.67,34,100,2,1.67,63,100,3,1.67,1,100,1,20,,,,,,,,,,,,,,,,,10.1,95,1,10,70,3,10,89.2,5,10,3.6,4,5,79.3,5,5,58.1,2,5,42.6,5,5,86.8,3,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610381,BRONZEVILLE HS,Network 17,2.7,Level 2,Intensive Support,16,95,2,3.33,82,99,4,1.67,16,99,2,1.67,50,100,3,1.67,76,100,4,1.67,1,100,1,20,,,,,,,,,,,,,,,,,8.3,99,1,10,88.2,4,10,86.1,5,10,0.5,5,5,69.4,4,5,56.1,2,5,2.4,1,5,86.4,3,10,Partially Organized,2,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610383,SOCIAL JUSTICE HS,Network 15,3.3,Level 2+,Good Standing,56,99,3,3.33,66,96,3,1.67,16,96,2,1.67,34,100,2,1.67,62,100,3,1.67,44,100,3,20,,,,,,,,,,,,,,,,,14.7,99,1,10,85.4,4,10,86.6,5,10,2.7,4,5,56.9,3,5,58,2,5,33.3,4,5,87.4,3,10,Organized,4,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610384,INFINITY HS,ISP,3.8,Level 1,Good Standing,95,99,5,3.33,30,100,2,1.67,4,100,1,1.67,10,100,2,1.67,34,100,2,1.67,54,100,3,17.5,,,,,53,100,4,2.5,,,,,,,,,38.3,100,2,10,89.7,4,10,93,5,10,0.7,5,5,73.4,4,5,74.6,3,5,44.3,5,5,93.6,4,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610385,MULTICULTURAL HS,Network 15,3.1,Level 2+,Good Standing,44,100,3,3.33,50,100,3,1.67,16,100,2,1.67,50,98,3,1.67,73,98,4,1.67,19,98,2,20,,,,,,,,,,,,,,,,,10.3,100,1,10,81.6,4,10,82,4,10,0.5,5,5,61.4,3,5,54.3,1,5,59,5,5,88.3,3,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610389,ORR HS,AUSL,1.9,Level 3,Intensive Support,10,97,2,3.33,32,97,2,1.67,33,97,2,1.67,12,97,2,1.67,37,97,2,1.67,1,97,1,20,,,,,,,,,,,,,,,,,3.8,97,1,10,74.6,3,10,42.9,1,10,10.9,1,5,38.3,1,5,40.9,1,5,32.6,4,5,74.2,1,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610390,RICKOVER MILITARY HS,ISP,3.9,Level 1,Good Standing,86,100,4,3.33,66,99,3,1.67,13,99,2,1.67,50,100,3,1.67,75,100,4,1.67,41,100,3,17.5,,,,,40,100,3,2.5,,,,,,,,,41.8,100,3,10,95.3,5,10,91.2,5,10,2.4,4,5,68.3,4,5,72.7,3,5,93.9,5,5,91.8,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610392,WORLD LANGUAGE HS,Network 15,3.5,Level 1,Good Standing,78,99,4,3.33,33,99,2,1.67,16,99,2,1.67,19,100,2,1.67,16,100,2,1.67,41,100,3,17.5,,,,,44,100,3,2.5,,,,,,,,,17.9,100,1,10,84.4,4,10,75.7,4,10,2.2,4,5,79.7,5,5,68.4,3,5,59.4,5,5,91.7,4,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610394,UPLIFT HS,Network 14,2.7,Level 2,Intensive Support,11,95,2,3.33,83,95,4,1.67,50,95,3,1.67,23,95,2,1.67,36,95,2,1.67,3,95,1,20,,,,,,,,,,,,,,,,,11.1,95,1,10,94.7,5,10,65.9,3,10,2.6,4,5,76.9,5,5,50,1,5,9.1,1,5,87.7,3,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610402,DEVRY HS,Network 14,4.6,Level 1+,Good Standing,,,,,,,,,,,,,69,100,3,15.01,97,100,5,15.01,,,,,,,,,,,,,,,,,,,,,73.5,100,4,10,,,,,,,0.6,5,15,81.1,5,5,78.2,4,5,100,5,5,95.7,5,20,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610499,COLLINS HS,AUSL,2.4,Level 2,Intensive Support,50,98,3,3.33,67,95,3,1.67,50,95,3,1.67,21,100,2,1.67,38,100,2,1.67,5,100,1,17.5,5,100,1,2.5,,,,,,,,,,,,,9.5,97,1,10,72.9,3,10,59.4,2,10,5.6,3,5,70.4,4,5,46.2,1,5,48,5,5,83.1,2,10,Well Organized,5,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610513,AIR FORCE HS,Network 16,3.3,Level 2+,Good Standing,40,99,3,3.33,33,100,2,1.67,1,100,1,1.67,50,100,3,1.67,50,100,3,1.67,10,100,2,20,,,,,,,,,,,,,,,,,22,100,2,10,88.9,4,10,75.6,4,10,0,5,5,62.5,3,5,64.5,2,5,96.5,5,5,93.2,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610518,AUSTIN CCA HS,Network 15,2.1,Level 2,Intensive Support,20,99,2,3.33,36,100,2,1.67,50,100,3,1.67,13,100,2,1.67,50,100,3,1.67,1,100,1,20,,,,,,,,,,,,,,,,,3.3,100,1,10,87.9,4,10,42.1,1,10,2,5,5,43.3,1,5,25,1,5,47.2,5,5,81.9,2,10,Not Yet Organized,1,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610543,SOLORIO HS,AUSL,3.8,Level 1,Good Standing,99,97,5,3.33,28,98,2,1.67,13,98,2,1.67,32,100,2,1.67,32,100,2,1.67,69,100,3,17.5,,,,,70,100,5,2.5,,,,,,,,,55.9,98,3,10,86.9,4,10,84.3,4,10,1.3,5,5,73.5,4,5,73.5,3,5,58.4,5,5,94.7,4,10,Well Organized,5,5,99.8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610547,SOUTH SHORE INTL HS,Network 17,3.3,Level 2+,Good Standing,12,99,2,3.33,66,97,3,1.67,5,97,1,1.67,8,100,1,1.67,50,100,3,1.67,1,100,1,17.5,1,100,1,2.5,,,,,,,,,,,,,33.5,98,2,10,95.2,5,10,87.4,5,10,1.4,5,5,85.7,5,5,77.6,4,5,41.7,5,5,90.4,4,10,Partially Organized,2,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610558,GOODE HS,Network 16,3.2,Level 2+,Good Standing,23,98,2,3.33,50,97,3,1.67,31,97,2,1.67,34,100,2,1.67,62,100,3,1.67,7,100,1,12.5,4,100,1,2.5,10,100,2,2.5,,,,,5,100,1,2.5,18.4,99,1,10,98.7,5,10,92,5,10,0.5,5,5,66.5,4,5,69,3,5,52,5,5,88.9,3,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610561,CRANE MEDICAL HS,Network 15,3.2,Level 2+,Good Standing,40,99,3,3.33,50,97,3,1.67,13,97,2,1.67,19,99,2,1.67,50,99,3,1.67,15,99,2,17.5,9,99,1,2.5,,,,,,,,,,,,,26.8,99,2,10,87.1,4,10,87.9,5,10,2.3,4,5,76,5,5,56.2,2,5,60.2,5,5,85.6,3,10,Partially Organized,2,5,99.9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610563,BACK OF THE YARDS HS,ISP,3.8,Level 1,Good Standing,90,100,5,3.33,50,100,3,1.67,1,100,1,1.67,17,100,2,1.67,19,100,2,1.67,29,100,2,17.5,,,,,30,100,3,2.5,,,,,,,,,53.4,100,3,10,97.5,5,10,94.8,5,10,0.5,5,5,84,5,5,67.4,3,5,62.7,5,5,93,4,10,Well Organized,5,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610587,DYETT ARTS HS,Network 17,3.4,Level 2+,Good Standing,76,100,4,4.58,50,99,3,2.3,31,99,2,2.3,34,100,2,2.3,84,100,4,2.3,8,100,1,18.75,8,100,1,2.5,,,,,,,,,,,,,21.4,100,2,10,96,5,20,,,,0.6,5,10,,,,,,,,,,92.7,4,15,Organized,4,5,100,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
