CPS Behavior Data,,,Misconducts,,,,"Suspensions
(includes ISS & OSS)",,"In School Suspensions 
(ISS)",,,,,,"Out of School Suspensions 
(OSS)",,,,,,"Police Notifications
",,,,
Multiracial Female,2018-2019,EOY,171,88,62,21,59,34.5,34,19.9,1.96,29,1.7,,25,14.6,1.44,21,1.2,,2,1.2,0.12,2,0.1
Asian Male,2011-2012,EOY,503,191,293,19,352,70,142,28.2,2.61,100,1.8,,210,41.7,3.85,164,3,,15,3,0.28,14,0.3
Asian Male,2012-2013,EOY,524,216,279,29,331,63.2,157,30,2.71,111,1.9,,178,34,3.07,132,2.3,,23,4.4,0.4,22,0.4
Asian Male,2013-2014,S1,280,146,117,17,164,58.6,93,33.2,1.43,63,1,,73,26.1,1.12,64,1,,14,5,0.21,12,0.2
Asian Male,2013-2014,EOY,528,272,219,37,288,54.5,156,29.5,2.5,105,1.7,,138,26.1,2.21,112,1.8,,29,5.5,0.46,22,0.4
Asian Male,2014-2015,S1,358,184,158,16,110,30.7,86,24,1.25,63,0.9,,29,8.1,0.42,27,0.4,,6,1.7,0.09,6,0.1
Asian Male,2014-2015,EOY,818,372,411,35,290,35.5,218,26.7,3.3,131,2,,79,9.7,1.2,59,0.9,,10,1.2,0.15,10,0.2
Asian Male,2015-2016,S1,269,136,116,17,71,26.4,43,16,0.6,34,0.5,,30,11.2,0.42,24,0.3,,6,2.2,0.08,6,0.1
Asian Male,2015-2016,EOY,494,230,225,39,159,32.2,99,20,1.56,75,1.2,,63,12.8,0.99,55,0.9,,25,5.1,0.39,22,0.3
Asian Male,2016-2017,S1,277,144,115,18,78,28.2,60,21.7,0.83,49,0.7,,19,6.9,0.26,15,0.2,,11,4,0.15,10,0.1
Asian Male,2016-2017,EOY,668,318,316,34,231,34.6,158,23.7,2.36,112,1.7,,80,12,1.19,60,0.9,,24,3.6,0.36,21,0.3
Asian Male,2017-2018,S1,394,215,152,27,110,27.9,64,16.2,0.88,49,0.7,,53,13.5,0.73,43,0.6,,8,2,0.11,8,0.1
Asian Male,2017-2018,EOY,822,436,322,64,250,30.4,150,18.2,2.62,93,1.6,,113,13.7,1.98,73,1.3,,23,2.8,0.4,19,0.3
Asian Male,2018-2019,S1,365,181,139,45,98,26.8,54,14.8,0.74,46,0.6,,44,12.1,0.6,35,0.5,,7,1.9,0.1,7,0.1
Asian Male,2018-2019,EOY,635,288,264,83,192,30.2,113,17.8,1.77,88,1.4,,79,12.4,1.23,59,0.9,,11,1.7,0.17,10,0.2
Asian Female,2011-2012,EOY,225,87,128,10,145,64.4,66,29.3,1.29,47,0.9,,79,35.1,1.54,62,1.2,,8,3.6,0.16,8,0.2
Asian Female,2012-2013,EOY,178,78,90,10,112,62.9,49,27.5,0.9,41,0.8,,63,35.4,1.16,46,0.8,,11,6.2,0.2,11,0.2
Asian Female,2013-2014,S1,87,52,27,8,54,62.1,39,44.8,0.63,27,0.4,,15,17.2,0.24,13,0.2,,1,1.1,0.02,1,0
Asian Female,2013-2014,EOY,176,95,67,14,103,58.5,68,38.6,1.16,42,0.7,,36,20.5,0.61,27,0.5,,7,4,0.12,7,0.1
Asian Female,2014-2015,S1,88,53,31,4,32,36.4,24,27.3,0.37,18,0.3,,10,11.4,0.15,10,0.2,,5,5.7,0.08,5,0.1
Asian Female,2014-2015,EOY,234,122,104,8,103,44,87,37.2,1.32,54,0.8,,19,8.1,0.29,15,0.2,,8,3.4,0.12,7,0.1
Asian Female,2015-2016,S1,76,50,24,2,21,27.6,19,25,0.28,13,0.2,,2,2.6,0.03,2,0,,2,2.6,0.03,2,0
Asian Female,2015-2016,EOY,174,93,73,8,66,37.9,47,27,0.79,31,0.5,,19,10.9,0.32,15,0.3,,8,4.6,0.13,7,0.1
Asian Female,2016-2017,S1,51,27,20,4,6,11.8,5,9.8,0.07,5,0.1,,1,2,0.01,1,0,,2,3.9,0.03,2,0
Asian Female,2016-2017,EOY,147,89,49,9,44,29.9,34,23.1,0.54,31,0.5,,11,7.5,0.18,9,0.1,,5,3.4,0.08,5,0.1
Asian Female,2017-2018,S1,79,50,24,5,18,22.8,9,11.4,0.13,9,0.1,,11,13.9,0.16,10,0.1,,2,2.5,0.03,2,0
Asian Female,2017-2018,EOY,149,94,46,9,33,22.1,19,12.8,0.36,17,0.3,,16,10.7,0.3,13,0.2,,3,2,0.06,3,0.1
Asian Female,2018-2019,S1,106,65,30,11,38,35.8,27,25.5,0.4,21,0.3,,11,10.4,0.16,11,0.2,,2,1.9,0.03,2,0
Asian Female,2018-2019,EOY,187,103,63,21,64,34.2,47,25.1,0.79,32,0.5,,17,9.1,0.29,16,0.3,,4,2.1,0.07,4,0.1
Hawaiian / Pacific Islander Male,2011-2012,EOY,31,6,17,8,28,90.3,4,12.9,2.19,4,2.2,,24,77.4,13.16,11,6,,5,16.1,2.74,3,1.6
Hawaiian / Pacific Islander Male,2012-2013,EOY,36,12,23,1,25,69.4,4,11.1,1.86,4,1.9,,22,61.1,10.22,12,5.6,,1,2.8,0.46,1,0.5
Hawaiian / Pacific Islander Male,2013-2014,S1,8,4,4,0,4,50,3,37.5,1.13,2,0.8,,1,12.5,0.38,1,0.4,,0,0,0,0,0
Hawaiian / Pacific Islander Male,2013-2014,EOY,13,6,7,0,8,61.5,6,46.2,2.27,4,1.5,,3,23.1,1.13,3,1.1,,0,0,0,0,0
Hawaiian / Pacific Islander Male,2014-2015,S1,17,12,5,0,4,23.5,2,11.8,0.69,2,0.7,,2,11.8,0.69,2,0.7,,0,0,0,0,0
Hawaiian / Pacific Islander Male,2014-2015,EOY,39,25,13,1,13,33.3,9,23.1,3.19,6,2.1,,4,10.3,1.42,4,1.4,,0,0,0,0,0
Hawaiian / Pacific Islander Male,2015-2016,S1,32,17,15,0,12,37.5,7,21.9,2.41,7,2.4,,6,18.8,2.07,5,1.7,,0,0,0,0,0
Hawaiian / Pacific Islander Male,2015-2016,EOY,64,27,36,1,21,32.8,15,23.4,5.16,10,3.4,,7,10.9,2.41,6,2.1,,0,0,0,0,0
Hawaiian / Pacific Islander Male,2016-2017,S1,25,17,8,0,4,16,4,16,1.34,3,1,,0,0,0,0,0,,0,0,0,0,0
Hawaiian / Pacific Islander Male,2016-2017,EOY,56,36,20,0,13,23.2,12,21.4,3.97,6,2,,1,1.8,0.33,1,0.3,,0,0,0,0,0
Hawaiian / Pacific Islander Male,2017-2018,S1,75,49,23,3,15,20,11,14.7,3.75,6,2,,4,5.3,1.36,4,1.4,,1,1.3,0.34,1,0.3
Hawaiian / Pacific Islander Male,2017-2018,EOY,115,67,42,6,28,24.3,16,13.9,5.44,10,3.4,,13,11.3,4.42,10,3.4,,1,0.9,0.34,1,0.3
Hawaiian / Pacific Islander Male,2018-2019,S1,63,36,20,7,17,27,12,19,4.07,7,2.4,,5,7.9,1.7,4,1.4,,0,0,0,0,0
Hawaiian / Pacific Islander Male,2018-2019,EOY,86,46,32,8,23,26.7,16,18.6,5.54,10,3.5,,7,8.1,2.42,5,1.7,,2,2.3,0.69,2,0.7
Hawaiian / Pacific Islander Female,2011-2012,EOY,26,12,11,3,15,57.7,5,19.2,2.38,5,2.4,,10,38.5,4.76,7,3.3,,1,3.8,0.48,1,0.5
Hawaiian / Pacific Islander Female,2012-2013,EOY,20,11,9,0,14,70,7,35,2.98,3,1.3,,7,35,2.98,5,2.1,,0,0,0,0,0
Hawaiian / Pacific Islander Female,2013-2014,S1,7,2,3,2,6,85.7,4,57.1,1.35,2,0.7,,2,28.6,0.68,2,0.7,,0,0,0,0,0
Hawaiian / Pacific Islander Female,2013-2014,EOY,21,7,10,4,19,90.5,13,61.9,4.46,3,1,,6,28.6,2.06,4,1.4,,0,0,0,0,0
Hawaiian / Pacific Islander Female,2014-2015,S1,5,3,1,1,2,40,1,20,0.33,1,0.3,,1,20,0.33,1,0.3,,0,0,0,0,0
Hawaiian / Pacific Islander Female,2014-2015,EOY,15,7,4,4,7,46.7,3,20,1,3,1,,4,26.7,1.33,3,1,,0,0,0,0,0
Hawaiian / Pacific Islander Female,2015-2016,S1,8,5,2,1,3,37.5,0,0,0,0,0,,3,37.5,1.06,3,1.1,,0,0,0,0,0
Hawaiian / Pacific Islander Female,2015-2016,EOY,15,6,7,2,7,46.7,1,6.7,0.4,1,0.4,,6,40,2.39,4,1.6,,0,0,0,0,0
Hawaiian / Pacific Islander Female,2016-2017,S1,7,2,3,2,0,0,0,0,0,0,0,,0,0,0,0,0,,1,14.3,0.34,1,0.3
Hawaiian / Pacific Islander Female,2016-2017,EOY,12,6,4,2,1,8.3,1,8.3,0.37,1,0.4,,0,0,0,0,0,,1,8.3,0.37,1,0.4
Hawaiian / Pacific Islander Female,2017-2018,S1,6,6,0,0,3,50,3,50,1.05,2,0.7,,0,0,0,0,0,,0,0,0,0,0
Hawaiian / Pacific Islander Female,2017-2018,EOY,8,6,1,1,5,62.5,4,50,1.52,3,1.1,,1,12.5,0.38,1,0.4,,1,12.5,0.38,1,0.4
Hawaiian / Pacific Islander Female,2018-2019,S1,3,2,1,0,2,66.7,1,33.3,0.37,1,0.4,,1,33.3,0.37,1,0.4,,0,0,0,0,0
Hawaiian / Pacific Islander Female,2018-2019,EOY,8,5,2,1,4,50,2,25,0.85,2,0.9,,2,25,0.85,1,0.4,,0,0,0,0,0
Race Not Available Male,2011-2012,EOY,29,10,19,0,22,75.9,4,13.8,1.43,3,1.1,,18,62.1,6.44,11,3.9,,4,13.8,1.43,3,1.1
Race Not Available Male,2012-2013,EOY,74,11,54,9,57,77,10,13.5,2.39,6,1.4,,48,64.9,11.47,31,7.4,,3,4.1,0.72,2,0.5
Race Not Available Male,2013-2014,S1,10,3,5,2,5,50,3,30,1.85,1,0.6,,2,20,1.23,1,0.6,,0,0,0,0,0
Race Not Available Male,2013-2014,EOY,22,12,8,2,10,45.5,3,13.6,1.84,1,0.6,,7,31.8,4.29,3,1.8,,1,4.5,0.61,1,0.6
Race Not Available Male,2014-2015,S1,15,2,11,2,6,40,2,13.3,1.15,2,1.1,,4,26.7,2.29,3,1.7,,0,0,0,0,0
Race Not Available Male,2014-2015,EOY,23,6,13,4,8,34.8,3,13,1.69,2,1.1,,5,21.7,2.82,3,1.7,,1,4.3,0.56,1,0.6
Race Not Available Male,2015-2016,S1,6,4,1,1,1,16.7,0,0,0,0,0,,1,16.7,0.41,1,0.4,,1,16.7,0.41,1,0.4
Race Not Available Male,2015-2016,EOY,11,5,5,1,2,18.2,1,9.1,0.41,1,0.4,,1,9.1,0.41,1,0.4,,1,9.1,0.41,1,0.4
Race Not Available Male,2016-2017,S1,4,1,2,1,1,25,0,0,0,0,0,,1,25,0.95,1,1,,0,0,0,0,0
Race Not Available Male,2016-2017,EOY,9,2,6,1,3,33.3,0,0,0,0,0,,3,33.3,3.06,2,2,,0,0,0,0,0
Race Not Available Male,2017-2018,S1,3,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Race Not Available Male,2017-2018,EOY,10,5,3,2,2,20,0,0,0,0,0,,2,20,1.44,2,1.4,,1,10,0.72,1,0.7
Race Not Available Male,2018-2019,S1,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Race Not Available Male,2018-2019,EOY,5,3,1,1,1,20,1,20,0.62,1,0.6,,0,0,0,0,0,,0,0,0,0,0
Race Not Available Female,2011-2012,EOY,20,8,10,2,19,95,0,0,0,0,0,,19,95,6.28,12,4,,1,5,0.33,1,0.3
Race Not Available Female,2012-2013,EOY,26,7,13,6,24,92.3,5,19.2,1.17,4,0.9,,19,73.1,4.46,14,3.3,,7,26.9,1.64,6,1.4
Race Not Available Female,2013-2014,S1,5,4,1,0,5,100,4,80,2.36,4,2.4,,1,20,0.59,1,0.6,,0,0,0,0,0
Race Not Available Female,2013-2014,EOY,20,10,9,1,20,100,13,65,7.92,8,4.9,,8,40,4.88,6,3.7,,2,10,1.22,1,0.6
Race Not Available Female,2014-2015,S1,3,1,2,0,2,66.7,0,0,0,0,0,,2,66.7,1.07,2,1.1,,0,0,0,0,0
Race Not Available Female,2014-2015,EOY,10,7,2,1,2,20,0,0,0,0,0,,2,20,1.08,2,1.1,,0,0,0,0,0
Race Not Available Female,2015-2016,S1,5,2,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1,20,0.41,1,0.4
Race Not Available Female,2015-2016,EOY,10,4,6,0,2,20,0,0,0,0,0,,2,20,0.92,2,0.9,,1,10,0.46,1,0.5
Race Not Available Female,2016-2017,S1,4,1,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Race Not Available Female,2016-2017,EOY,12,2,9,1,3,25,0,0,0,0,0,,3,25,2.98,2,2,,0,0,0,0,0
Race Not Available Female,2017-2018,S1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Race Not Available Female,2017-2018,EOY,6,5,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Race Not Available Female,2018-2019,S1,3,1,1,1,2,66.7,2,66.7,1.1,2,1.1,,0,0,0,0,0,,0,0,0,0,0
Race Not Available Female,2018-2019,EOY,10,3,3,4,7,70,3,30,1.69,2,1.1,,4,40,2.26,2,1.1,,0,0,0,0,0
Grade PK-2,2011-2012,EOY,3704,1068,2442,194,2665,71.9,355,9.6,0.41,306,0.4,,2310,62.4,2.66,1442,1.7,,37,1,0.04,31,0
Grade PK-2,2012-2013,EOY,5317,1839,3154,324,3108,58.5,427,8,0.48,372,0.4,,2709,50.9,3.08,1686,1.9,,51,1,0.06,49,0.1
Grade PK-2,2013-2014,S1,2204,911,1152,141,995,45.1,165,7.5,0.17,138,0.1,,837,38,0.85,584,0.6,,13,0.6,0.01,13,0
Grade PK-2,2013-2014,EOY,5015,1923,2749,343,2217,44.2,411,8.2,0.45,325,0.4,,1833,36.6,1.99,1120,1.2,,33,0.7,0.04,33,0
Grade PK-2,2014-2015,S1,2679,1511,1092,76,167,6.2,101,3.8,0.1,84,0.1,,70,2.6,0.07,59,0.1,,14,0.5,0.01,13,0
Grade PK-2,2014-2015,EOY,6013,3168,2650,195,211,3.5,121,2,0.13,100,0.1,,94,1.6,0.1,83,0.1,,48,0.8,0.05,39,0
Grade PK-2,2015-2016,S1,2647,1518,1062,67,12,0.5,2,0.1,0,2,0,,11,0.4,0.01,9,0,,16,0.6,0.02,12,0
Grade PK-2,2015-2016,EOY,5455,2906,2369,180,24,0.4,3,0.1,0,3,0,,22,0.4,0.03,18,0,,43,0.8,0.05,34,0
Grade PK-2,2016-2017,S1,2210,1232,917,61,3,0.1,0,0,0,0,0,,3,0.1,0,2,0,,18,0.8,0.02,17,0
Grade PK-2,2016-2017,EOY,4660,2391,2089,180,17,0.4,5,0.1,0.01,5,0,,13,0.3,0.02,11,0,,46,1,0.06,40,0
Grade PK-2,2017-2018,S1,2346,1366,932,48,11,0.5,3,0.1,0,3,0,,9,0.4,0.01,5,0,,24,1,0.03,23,0
Grade PK-2,2017-2018,EOY,4692,2615,1964,113,20,0.4,4,0.1,0.01,4,0,,17,0.4,0.02,10,0,,47,1,0.06,42,0.1
Grade PK-2,2018-2019,S1,2545,1548,893,104,12,0.5,7,0.3,0.01,7,0,,5,0.2,0.01,4,0,,14,0.6,0.02,14,0
Grade PK-2,2018-2019,EOY,4639,2672,1736,231,24,0.5,10,0.2,0.01,10,0,,14,0.3,0.02,11,0,,26,0.6,0.04,24,0
Grade 3-5,2011-2012,EOY,12798,2924,9081,793,10412,81.4,1734,13.5,2.58,1326,2,,8679,67.8,12.91,5049,7.5,,239,1.9,0.36,207,0.3
Grade 3-5,2012-2013,EOY,16183,3684,11390,1109,12105,74.8,2021,12.5,3.02,1628,2.4,,10268,63.4,15.36,5583,8.4,,206,1.3,0.31,189,0.3
Grade 3-5,2013-2014,S1,5900,1801,3825,274,3601,61,623,10.6,0.84,555,0.7,,3017,51.1,4.07,2191,3,,64,1.1,0.09,59,0.1
Grade 3-5,2013-2014,EOY,13085,3899,8479,707,7905,60.4,1606,12.3,2.31,1308,1.9,,6421,49.1,9.26,3832,5.5,,139,1.1,0.2,123,0.2
Grade 3-5,2014-2015,S1,7122,3213,3634,275,1953,27.4,1092,15.3,1.46,890,1.2,,942,13.2,1.26,716,1,,58,0.8,0.08,52,0.1
Grade 3-5,2014-2015,EOY,15947,6550,8693,704,5262,33,2465,15.5,3.45,1866,2.6,,2979,18.7,4.17,1863,2.6,,147,0.9,0.21,133,0.2
Grade 3-5,2015-2016,S1,7490,3204,4023,263,2057,27.5,1023,13.7,1.33,827,1.1,,1091,14.6,1.42,796,1,,71,0.9,0.09,65,0.1
Grade 3-5,2015-2016,EOY,16226,6098,9469,659,5595,34.5,2596,16,3.79,1882,2.7,,3124,19.3,4.56,1972,2.9,,173,1.1,0.25,144,0.2
Grade 3-5,2016-2017,S1,6555,2862,3432,261,1760,26.8,855,13,1.13,692,0.9,,959,14.6,1.26,712,0.9,,84,1.3,0.11,80,0.1
Grade 3-5,2016-2017,EOY,13743,5177,7887,679,4683,34.1,2176,15.8,3.2,1608,2.4,,2621,19.1,3.86,1652,2.4,,177,1.3,0.26,165,0.2
Grade 3-5,2017-2018,S1,6355,2776,3324,255,1622,25.5,878,13.8,1.21,741,1,,788,12.4,1.08,597,0.8,,64,1,0.09,54,0.1
Grade 3-5,2017-2018,EOY,13330,5288,7411,631,4030,30.2,2048,15.4,2.99,1555,2.3,,2099,15.7,3.07,1351,2,,157,1.2,0.23,128,0.2
Grade 3-5,2018-2019,S1,5489,2659,2562,268,1298,23.6,747,13.6,1.07,612,0.9,,551,10,0.79,416,0.6,,46,0.8,0.07,42,0.1
Grade 3-5,2018-2019,EOY,11364,4922,5835,607,3249,28.6,1759,15.5,2.58,1288,1.9,,1490,13.1,2.18,972,1.4,,95,0.8,0.14,86,0.1
Grade 6-8,2011-2012,EOY,26853,6052,17828,2973,22341,83.2,3691,13.7,5.71,2781,4.3,,18650,69.5,28.87,10129,15.7,,1158,4.3,1.79,991,1.5
Grade 6-8,2012-2013,EOY,32588,7319,21291,3978,24793,76.1,4585,14.1,7.28,3440,5.5,,20705,63.5,32.9,10516,16.7,,1309,4,2.08,1096,1.7
Grade 6-8,2013-2014,S1,12319,3443,7383,1493,8109,65.8,1540,12.5,2.22,1337,1.9,,6734,54.7,9.7,4537,6.5,,440,3.6,0.63,400,0.6
Grade 6-8,2013-2014,EOY,25248,7020,15054,3174,16440,65.1,3389,13.4,5.21,2696,4.1,,13385,53,20.59,7554,11.6,,976,3.9,1.5,840,1.3
Grade 6-8,2014-2015,S1,12024,5297,5813,914,3832,31.9,1984,16.5,2.85,1670,2.4,,2001,16.6,2.88,1545,2.2,,374,3.1,0.54,330,0.5
Grade 6-8,2014-2015,EOY,26646,10652,13588,2406,10111,37.9,4590,17.2,6.86,3443,5.1,,5879,22.1,8.78,3693,5.5,,908,3.4,1.36,744,1.1
Grade 6-8,2015-2016,S1,12829,5645,6200,984,4477,34.9,2275,17.7,3.24,1767,2.5,,2360,18.4,3.36,1758,2.5,,340,2.7,0.48,285,0.4
Grade 6-8,2015-2016,EOY,26027,10027,13558,2442,10851,41.7,5055,19.4,8.05,3582,5.7,,6169,23.7,9.83,3911,6.2,,835,3.2,1.33,693,1.1
Grade 6-8,2016-2017,S1,12064,5092,5972,1000,3986,33,1996,16.5,2.88,1613,2.3,,2114,17.5,3.05,1541,2.2,,329,2.7,0.47,278,0.4
Grade 6-8,2016-2017,EOY,23901,9012,12605,2284,9558,40,4562,19.1,7.34,3312,5.3,,5345,22.4,8.6,3261,5.2,,700,2.9,1.13,564,0.9
Grade 6-8,2017-2018,S1,10358,4018,5264,1076,3681,35.5,1998,19.3,2.96,1641,2.4,,1844,17.8,2.73,1405,2.1,,301,2.9,0.45,270,0.4
Grade 6-8,2017-2018,EOY,20796,7588,10939,2269,8195,39.4,4272,20.5,6.74,3158,5,,4283,20.6,6.76,2807,4.4,,697,3.4,1.1,596,0.9
Grade 6-8,2018-2019,S1,9927,4017,4700,1210,3566,35.9,2164,21.8,3.19,1755,2.6,,1402,14.1,2.06,1090,1.6,,288,2.9,0.42,258,0.4
Grade 6-8,2018-2019,EOY,20160,7616,9821,2723,8294,41.1,4725,23.4,7.41,3407,5.3,,3569,17.7,5.59,2423,3.8,,572,2.8,0.9,487,0.8
Grade 9-12,2011-2012,EOY,89374,46277,36747,6350,66984,74.9,28480,31.9,39.86,12205,17.1,,38506,43.1,53.89,18978,26.6,,3732,4.2,5.22,3015,4.2
Grade 9-12,2012-2013,EOY,80048,36278,36953,6817,64550,80.6,30194,37.7,42.18,13068,18.3,,35905,44.9,50.16,17198,24,,3634,4.5,5.08,2909,4.1
Grade 9-12,2013-2014,S1,41241,21890,16445,2906,31672,76.8,17896,43.4,22.91,9230,11.8,,14635,35.5,18.73,8919,11.4,,1622,3.9,2.08,1390,1.8
Grade 9-12,2013-2014,EOY,77192,39170,32247,5775,59124,76.6,32645,42.3,43.64,13265,17.7,,28057,36.3,37.5,13925,18.6,,3187,4.1,4.26,2543,3.4
Grade 9-12,2014-2015,S1,38204,20549,14692,2963,20968,54.9,14499,38,18.32,6875,8.7,,6913,18.1,8.74,4699,5.9,,1512,4,1.91,1276,1.6
Grade 9-12,2014-2015,EOY,83937,42092,35388,6457,45936,54.7,31496,37.5,42.51,11200,15.1,,15410,18.4,20.8,8724,11.8,,3106,3.7,4.19,2430,3.3
Grade 9-12,2015-2016,S1,37115,18640,15237,3238,19766,53.3,13444,36.2,16.85,6030,7.6,,6714,18.1,8.42,4789,6,,1121,3,1.41,977,1.2
Grade 9-12,2015-2016,EOY,74357,38202,29743,6412,39546,53.2,26519,35.7,37.7,9702,13.8,,13831,18.6,19.66,8157,11.6,,2201,3,3.13,1765,2.5
Grade 9-12,2016-2017,S1,30318,19520,8399,2399,11096,36.6,7493,24.7,9.67,4318,5.6,,3961,13.1,5.11,3062,4,,893,2.9,1.15,795,1
Grade 9-12,2016-2017,EOY,58101,35986,17463,4652,22759,39.2,14834,25.5,21.08,7301,10.4,,8641,14.9,12.28,5839,8.3,,1755,3,2.49,1443,2.1
Grade 9-12,2017-2018,S1,30482,20257,7915,2310,9945,32.6,6590,21.6,8.71,3973,5.3,,3628,11.9,4.8,2881,3.8,,769,2.5,1.02,671,0.9
Grade 9-12,2017-2018,EOY,58822,37554,16602,4666,20789,35.3,14282,24.3,24.29,7125,12.1,,7160,12.2,12.18,5068,8.6,,1453,2.5,2.47,1229,2.1
Grade 9-12,2018-2019,S1,21360,11015,7331,3014,10189,47.7,6931,32.4,9.22,3996,5.3,,3258,15.3,4.33,2599,3.5,,701,3.3,0.93,589,0.8
Grade 9-12,2018-2019,EOY,40570,19551,15051,5968,21196,52.2,14664,36.1,24.65,6729,11.3,,6532,16.1,10.98,4616,7.8,,1054,2.6,1.77,883,1.5
1 S1=Data through Semester 1 of the respective school year. EOY- Data from 7/1 to 6/30 of the respective school year; includes semester 1 data.,,,,,,,,,,,,,,,,,,,,,,,,,
2 All CPS schools should document and track all misconducts that arise to the level of an Office Disciplinary Referral and are Student Code of Conduct infractions. The # of Misconducts displayed here represents all Student Code of Conduct infractions that have been reported through IMPACT Verify each school year.,,,,,,,,,,,,,,,,,,,,,,,,,
3 Group 1-2 Example: Leaving class without permission,,,,,,,,,,,,,,,,,,,,,,,,,
4 Group 3-4 Example: Fighting,,,,,,,,,,,,,,,,,,,,,,,,,
5 Group 5-6 Example: Gang activity,,,,,,,,,,,,,,,,,,,,,,,,,
"6 Schools are able to apply both an in school and out of school suspension to one misconduct event. In those cases, the suspension is only counted once.",,,,,,,,,,,,,,,,,,,,,,,,,
7 This category was retired.,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Expulsion data from Verify: in cases where students do not fit into the standard grade or race categories the totals may not match perfectly.,,,,,,,,,,,,,,,,,,,,,,,,,
Note:  Misconduct and suspension data includes only district-managed schools; Expulsion data includes all district-managed and charter schools.,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Expulsion data for SY2018-2019 will be posted at a later date,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
